Variedad
XLENCE
SUNRICH GOLD
VINCENTS CHOICE
MAGICAL CHERRY
MAGICAL MAJESTIC PINK
MAGICAL RED WINE
MAGICAL RENATA GREEN
MAGICAL ROYAL PRINCESS
MAGICAL SNOW PRINCE
MAGICAL TRIUMPH
COD-488
COD 10
COD 2
GOLDEN GLORY YELLOW
SKYLER BLUE
SKYLER PINK
SKYLER SPLASH BLUE
SKYLER SPLASH PINK
SKYLER SPLASH WHITE
SKYLER WHITE IMPROVED
BABY BLUE
GUNNII
H12-117-1
H20-13-7
H20-14-7
H20-9-11
H20-9-21
H21-117-1
H21-12-4
H21-13-2
H21-67-3
H21-68-7
